# I energy_spread Eo(eV) omega_s To R sigma_z td
# 0.00044 0.001017 2.75e+09 9217.43 1.181e-06 5.36 0.00145 0.00327
# resistance : 0 inductance : 0
# nq Lq dq np Lp dp
# 480 20 0.0416667 480 20 0.0416667
# nt ntint ntot t1 t2 dt
# 8000 10 80000 0 63.118 0.000788975
# bolometer cutoff : 2.5 cm-1
# t aire val.moy rms_z rms_E thz thz_lp thz_hp thz_lp_hp thz_lp_hp2 feedback DiffWithCI numprocs numthreads niter wc_time
0 1 -2.95881e-16 1.2 1.2 0.343013 0.343013 0.343013 0.343013 0 4.90113e-321 0 1 1 0 0
0.00788975 1 1.51559e-07 1.2 1.19981 0.342797 0.343012 0.342627 0.343011 0 0 0 1 1 10 0.109641
0.0157795 1 6.39814e-07 1.20001 1.19961 0.342106 0.343006 0.341766 0.343003 0 0 0 1 1 20 0.218826
0.0236692 1 1.46439e-06 1.20003 1.1994 0.340944 0.342992 0.340435 0.342984 0 0 0 1 1 30 0.327939
0.031559 1 2.62475e-06 1.20005 1.1992 0.339317 0.342963 0.338641 0.342949 0 0 0 1 1 40 0.43693
0.0394488 1 4.12025e-06 1.20008 1.19898 0.337236 0.342916 0.336391 0.342895 0 0 0 1 1 50 0.545911
0.0473385 1 5.95006e-06 1.20012 1.19877 0.33471 0.342847 0.3337 0.342817 0 0 0 1 1 60 0.654866
0.0552282 1 8.11324e-06 1.20016 1.19855 0.331755 0.342751 0.33058 0.34271 0 0 0 1 1 70 0.763941
0.063118 1 1.06087e-05 1.20021 1.19832 0.328386 0.342624 0.327048 0.342572 0 0 0 1 1 80 0.872784
0.0710078 1 1.34352e-05 1.20027 1.19809 0.324622 0.342464 0.323123 0.342398 0 0 0 1 1 90 0.981707
0.0788975 1 1.65915e-05 1.20034 1.19786 0.320482 0.342266 0.318824 0.342184 0 0 0 1 1 100 1.09058
0.0867872 1 2.0076e-05 1.20041 1.19762 0.315989 0.342027 0.314175 0.341929 0 0 0 1 1 110 1.19948
0.094677 1 2.38871e-05 1.20048 1.19738 0.311167 0.341744 0.309198 0.341629 0 0 0 1 1 120 1.30849
0.102567 1 2.80232e-05 1.20056 1.19713 0.306039 0.341415 0.303918 0.34128 0 0 0 1 1 130 1.41738
0.110456 1 3.24824e-05 1.20065 1.19688 0.300634 0.341037 0.298363 0.340882 0 0 0 1 1 140 1.52631
0.118346 1 3.72628e-05 1.20075 1.19663 0.294977 0.340608 0.29256 0.340431 0 0 0 1 1 150 1.63522
0.126236 1 4.23624e-05 1.20085 1.19637 0.289096 0.340126 0.286537 0.339927 0 0 0 1 1 160 1.7441
0.134126 1 4.7779e-05 1.20096 1.1961 0.283022 0.33959 0.280322 0.339367 0 0 0 1 1 170 1.85315
0.142016 1 5.35105e-05 1.20107 1.19583 0.276783 0.338999 0.273945 0.33875 0 0 0 1 1 180 1.96225
0.149905 1 5.95546e-05 1.20119 1.19556 0.270408 0.338351 0.267436 0.338076 0 0 0 1 1 190 2.07111
0.157795 1 6.59089e-05 1.20132 1.19528 0.263927 0.337646 0.260825 0.337343 0 0 0 1 1 200 2.18013
0.165685 1 7.2571e-05 1.20145 1.195 0.25737 0.336883 0.25414 0.336553 0 0 0 1 1 210 2.28904
0.173574 1 7.95384e-05 1.20159 1.19472 0.250765 0.336063 0.247411 0.335703 0 0 0 1 1 220 2.39818
0.181464 1 8.68086e-05 1.20174 1.19443 0.244141 0.335186 0.240666 0.334796 0 0 0 1 1 230 2.507
0.189354 1 9.4379e-05 1.20188 1.19414 0.237525 0.334252 0.233933 0.333831 0 0 0 1 1 240 2.61614
